https://gsuite.google.com/customers/../customers/acdc-express.html,ACDC Express,ACDC Express is South Africa’s largest independent wholesale supplier of electronic goods and South Africa’s largest electrical retail franchise.,,South Africa,http://acdcexpress.com/,"Gmail,Drive,Sheets,Docs,Google Meet"
https://gsuite.google.com/customers/../customers/adler-planetarium.html,Adler Planetarium,"Based in Chicago, Illinois, the Adler Planetarium hosts more than half a million visitors each year and reaches millions more through youth STEM programs and other outreach projects.",Government,United States,,"Docs,Drive,Gmail,Google Meet,Sheets,Slides"
https://gsuite.google.com/customers/../customers/aerotech.html,Aerotech,"Since 1970, Aerotech has designed and manufactured the highest performance motion control, positioning tables/stages, and positioning systems for our customers in industry, government, science, and research institutions around the world.",Manufacturing,United States,https://www.aerotech.com/,"Calendar,Docs,Google Meet,Sheets"
https://gsuite.google.com/customers/../customers/all-nippon-airways.html,All Nippon Airways,Japan's All Nippon Airways is now en route to the digital cloud.,Travel & Transportation,,,
https://gsuite.google.com/customers/../customers/amstelring.html,Amstelring,"Amstelring delivers care services for the elderly and disabled throughout the greater Amsterdam region with 4,000 full- and part-time employees.",Health & Social Care,The Netherlands,https://www.amstelring.nl/,"Docs,Drive,Google Meet,Sheets,Sites"
https://gsuite.google.com/customers/../customers/andela.html,Andela,"Andela is solving the technical talent shortage by building distributed engineering teams with Africa's top software developers. In four years, Andela has hired 1,000 developers and become known as the ""Best Place to Work in Africa,"" with tech campuses in Lagos, Nairobi, Kampala, and Kigali. Andela developers work as full-time engineers with companies ranging from the Fortune 500 to high-growth startups like Gusto and Cloudflare. Backed by Chan Zuckerberg Initiative, GV, and Spark Capital, Andela is powering global engineering teams while catalyzing the growth of tech ecosystems across Africa.",Technology,United States,https://andela.com/,"Docs,Calendar,Gmail,Drive,Sheets,Vault"
https://gsuite.google.com/customers/../customers/anymind-group-gsuite.html,AnyMind Group,"Founded as AdAsia Holdings in April 2016, the organization became AnyMind Group in January 2018 and is now the parent company of AdAsia Holdings, TalentMind, and CastingAsia. AnyMind Group aims to provide industries, businesses, and professionals with a suite of AI-based solutions to enable growth. Headquartered in Singapore, AnyMind Group has over 330 staff across 13 offices in 11 markets in Asia.",Technology,Singapore,https://anymindgroup.com/,"Gmail,Google Meet,Calendar,Drive,Slides,Docs,Sheets"
https://gsuite.google.com/customers/../customers/ascend-money-gsuite.html,Ascend Money,"Ascend Money is one of South East Asia's largest fintech businesses and uses digital technologies to provide financial services to people in the region – particularly those who lack access to banking. Its offerings include the TrueMoney regional payment platform for underserved and digital consumers. The TrueMoney platform supports more than 40 million consumers across six countries: Cambodia, Indonesia, Myanmar, the Philippines, Thailand, and Vietnam. TrueMoney also provides an e-wallet app that provides easy ways of topping up mobile phones, shopping online and paying for products and services; a network of 65,000 branded shops; and international remittances, initially between Thailand and Myanmar. In addition, Ascend Money offers financial products to small to medium businesses.",Financial Services,Thailand,https://www.ascendmoney.io/,"Sheets,Slides,Docs,Google Meet"
https://gsuite.google.com/customers/../customers/atb-financial.html,ATB Financial,"As part of its customer-centric attitude and mandate to transform banking, ATB launched a bold transformation initiative powered by G Suite. This has resulted in ATB driving innovation, optimizing workflows and business processes, and enabling more positive customer interactions.",Financial Services,Canada,http://www.atb.com/Pages/default.aspx,"Gmail,Calendar,Docs,Drive,Google Meet,Sheets,Google+"
https://gsuite.google.com/customers/../customers/atlassian.html,Atlassian,"Founded 16 years ago, Atlassian is a globally distributed maker of software that helps teams collaborate more effectively. The business has about 3,200 full-time employees plus about 800 contractors and contingent workers.",Technology,Australia,https://www.atlassian.com/,"Slides,Drive,Sheets,Gmail,Docs,Calendar"
https://gsuite.google.com/customers/../customers/aveve-group.html,AVEVE Group,"AVEVE Group is a Belgian full-service supplier to farmers. As a market leader, the company is able to offer top expertise and the widest possible portfolio of products and services to its clients.","Agriculture, Forestry & Fishing",Belgium,,"Gmail,Calendar,Drive,Google Meet"
https://gsuite.google.com/customers/../customers/bbva.html,BBVA,BBVA banks on G Suite to transform its business.,Financial Services,,,
https://gsuite.google.com/customers/../customers/bci.html,Bci,"Banco de Crédito e Inversiones (Bci) is one of Chile’s largest banks, with more than 10,000 employees and branches in Latin America and the United States.",Financial Services,Chile,https://www.bci.cl/personas/,"Gmail,Drive,Sheets,Docs,Google Meet,Slides"
